Time,Previous Trend,Past 10 Days Day Open to Close Slope,Past 10 Days Overall Slope,Past 10 Days Second Derivative,Yesterday Close to Today Open,Open to Moving Average,Open to 52 Wk Average,Volume to Moving Average,Buy
2019-06-17,0,0,0,0,1,1,0,1,1
2019-06-18,1,0,0,0,1,1,0,1,0
2019-06-19,0,0,0,0,1,1,0,0,0
2019-06-20,0,0,0,0,1,1,0,0,0
2019-06-21,0,0,0,0,0,1,0,1,1
2019-06-24,1,0,0,0,0,1,0,0,0
2019-06-25,0,0,0,0,0,1,0,1,0
2019-06-26,0,0,0,0,1,0,0,1,0
2019-06-27,0,0,0,0,1,0,0,0,0
2019-06-28,0,0,0,0,1,0,0,1,1
2019-07-01,1,-5.421111111111082,-0.6128125000000002,-0.9318749999999999,1,0,0,0,0
2019-07-02,0,-5.334444444444443,-1.7721874999999998,0.7393750000000003,1,1,0,0,1
2019-07-03,1,-4.754444444444441,-0.3346875,0.1056250000000003,1,1,0,0,1
2019-07-05,1,-3.5877777777777737,-0.5459374999999995,1.0168750000000002,0,1,0,1,1
2019-07-08,1,-2.1444444444444395,0.19562500000000055,-0.6887499999999998,0,1,0,1,0
2019-07-09,0,-2.3905555555555416,0.4792187500000006,1.0371875,0,1,0,1,1
2019-07-10,1,-3.0327777777777607,1.25,1.15125,1,1,0,1,1
2019-07-11,1,1.5750000000000202,1.9778125000000002,1.5406250000000001,1,1,0,0,0
2019-07-12,0,3.7161111111111547,3.4328125000000003,1.1693749999999998,0,1,0,0,1
2019-07-15,1,4.609444444444459,4.0690625,-0.47812500000000013,1,1,0,0,1
2019-07-16,1,4.258333333333338,2.7259375000000006,0.21562500000000007,0,1,0,0,1
2019-07-17,1,4.948333333333342,2.4506250000000005,-0.1625000000000001,0,1,0,0,0
2019-07-18,0,4.832777777777791,1.834375,0.14,0,1,0,0,1
2019-07-19,1,3.8694444444444493,1.42578125,-1.0921874999999999,1,1,0,0,0
2019-07-22,0,2.9744444444444422,1.455625,0.895,1,1,0,1,1
